type,name,year,cellar,region,country,varieties,eco,rating,stars,opinions,likes,parker,penin,suckling,price,old_price,offer
Vinos rosados y rosé,Palamà Fregi Barocchi Rosato,2020,Palamà,Salento,Italia,Negroamaro,,0.0,5,0,1,-1,-1,-1,"7,05 €",,False
Vinos rosados y rosé,Montecastrillo Rosado,2020,Finca Torremilanos,Bio Bio Valle,Chile,Abrusco / Zweigelt,,0.0,5,0,0,-1,-1,-1,"7,95 €",,False
Vinos rosados y rosé,Cuscó Berga Cova Gran Merlot,2019,Vins i Caves Cuscó Berga,Sin indicación geográfica,España,Merlot,ECO,0.0,5,0,0,-1,-1,-1,"7,44 €","8,75 €",True
Vinos rosados y rosé,Escabeces,2020,Escabeces Vins,Tarragona,España,Xarel·lo vermell,,4.4,5,5,8,91,-1,-1,"13,95 €",,False
Vinos rosados y rosé,Petit Caus Rosado,2021,Can Ràfols dels Caus,Penedès,España,Merlot / Syrah / Tempranillo / Sumoll,,4.0,5,6,2,-1,-1,-1,"8,40 €",,False
Vinos rosados y rosé,Mallolet Rosa,2019,Roig Parals,Empordà,España,Garnacha,,4.0,5,1,0,-1,-1,-1,"7,36 €","8,65 €",True
Vinos rosados y rosé,Castillo de Monjardín Rosado de Lágrima,2021,Bodegas Castillo de Monjardín,Navarra,España,Cabernet sauvignon / Tempranillo,,4.0,5,2,2,-1,-1,-1,"6,95 €",,False
Vinos rosados y rosé,Finca Bacara Rosé,2020,Finca Bacara,Sin indicación geográfica,España,Garnacha,,0.0,5,0,2,-1,-1,-1,"7,70 €",,False
Vinos rosados y rosé,Flamingo Rosé,2021,Bodega Conde de San Cristóbal,Ribera del Duero,España,Tempranillo,,0.0,5,0,1,-1,-1,-1,"21,90 €",,False
Vinos rosados y rosé,El Columpio Rosat,2021,Tianna Negre - Ses Nines,Mallorca,España,Mantonegro / Syrah,,4.5,5,2,1,-1,-1,-1,"10,85 €",,False
Vinos rosados y rosé,Montecillo Rosado,2020,Bodegas Montecillo,Rioja,España,Tempranillo / Tempranillo blanco,,0.0,5,0,0,-1,-1,-1,"6,95 €",,False
Vinos rosados y rosé,Michel Lynch Bordeaux Rosé,2021,Famille J.M. Cazes,Bordeaux Rosé,Francia,Cabernet franc / Cabernet sauvignon,,0.0,5,0,0,-1,-1,-1,"10,30 €",,False
Vinos rosados y rosé,Nutt Rosé Eco,2020,Mas Bertran Viticultors,Penedès,España,Sumoll,ECO,0.0,5,0,0,-1,-1,-1,"7,31 €","8,60 €",True
Vinos rosados y rosé,Rares Terroirs Pays d'Oc N°5 Cinsault,2019,Wines And Brands,Pays d'Oc,Francia,Cinsaut,,0.0,5,0,0,-1,-1,-1,"10,30 €",,False
Vinos rosados y rosé,Domaine Tariquet Rosé de Pressée,2020,Domaine Tariquet,Côtes de Gascogne,Francia,Merlot / Cabernet franc / Syrah / Tannat,,4.0,5,1,2,-1,-1,-1,"8,25 €",,False
Vinos rosados y rosé,Vizcarra Rosado,2021,Bodegas Vizcarra,Ribera del Duero,España,Garnacha,,0.0,5,0,2,-1,-1,-1,"14,90 €",,False
Vinos rosados y rosé,Fontedei Aixa,2019,Bodegas Fontedei,Granada,España,Merlot,,0.0,5,0,0,-1,-1,-1,"9,75 €",,False
Vinos rosados y rosé,Roigenc,2017,Cellers Capafons-Ossó,Montsant,España,Syrah,,3.0,5,1,0,-1,-1,-1,"11,75 €",,False
Vinos rosados y rosé,Mont Rubí Gaintus One Night's Rosé,2018,Bodega Heretat Mont-Rubí,Penedès,España,Sumoll,,0.0,5,0,0,-1,-1,-1,"10,62 €","12,50 €",True
Vinos rosados y rosé,L'Apprentie Sorcière du Clos des Fées Rosé,2019,Le Clos des Fées,Côtes Catalanes,Francia,Carignano / Grenache / Monastrell / Syrah,,0.0,5,0,1,-1,-1,-1,"10,50 €",,False
Vinos rosados y rosé,El Coto Rosado,2021,El Coto de Rioja,Rioja,España,Tempranillo / Garnacha,,4.75,5,12,6,-1,-1,-1,"5,25 €",,False
